000.0 +0.00 +0.00 +0.00 +0.00 +0.00 +0.00 +0.00 +0.00 +0.00 +0.00 +0.00 +0.00 +0.00
000.0 +0.00 +0.00 +0.00 +0.00 +0.00 +0.00 +0.00 +0.00 +0.00 +0.00 +0.00 +0.00 +0.00
000.0 -0.99 -0.99 -0.99 -0.99 -0.99 -0.99 -0.99 -0.99 -0.99 -0.99 -0.99 -0.99 -0.99
000.0 -0.99 -0.99 -0.99 -0.99 -0.99 -0.99 -0.99 -0.99 -0.99 -0.99 -0.99 -0.99 -0.99
002.5 +2.62 +0.04 +0.00 +0.00 +0.04 +0.03 +0.01 +0.00 +0.08 +0.00 +0.03 +0.03 +0.00
002.5 +0.00 +0.16 +0.00 +0.00 +0.14 +0.12 +0.05 +0.02 +0.29 +0.00 +0.11 +0.09 +0.00
002.5 -0.99 -0.99 -0.99 -0.99 -0.99 -0.99 -0.99 -0.99 -0.99 -0.99 -0.99 -0.99 -0.99
002.5 -0.99 -0.99 -0.99 -0.99 -0.99 -0.99 -0.99 -0.99 -0.99 -0.99 -0.99 -0.99 -0.99
005.0 +2.64 +0.08 +0.00 +0.00 +0.05 +0.04 +0.02 +0.01 +0.16 +0.00 +0.03 +0.04 +0.00
005.0 +0.00 +0.19 +0.00 +0.00 +0.12 +0.08 +0.06 +0.01 +0.37 +0.00 +0.07 +0.09 +0.00
005.0 -0.01 -0.82 -0.99 -0.99 -0.99 -0.99 -0.99 -0.99 -0.77 -0.99 -0.99 -0.99 -0.99
005.0 +0.09 -0.83 -0.99 -0.99 -0.99 -0.99 -0.99 -0.99 -0.70 -0.99 -0.99 -0.99 -0.99
007.5 +2.65 +0.14 +0.00 +0.00 +0.06 +0.11 +0.06 +0.01 +0.23 +0.00 +0.04 +0.04 +0.00
007.5 +0.00 +0.21 +0.00 +0.00 +0.09 +0.16 +0.08 +0.01 +0.33 +0.00 +0.05 +0.06 +0.00
007.5 +0.09 -0.68 -0.99 -0.99 -0.86 -0.68 -0.84 -0.99 -0.70 -0.99 -0.84 -0.99 -0.99
007.5 -0.03 -0.72 -0.99 -0.99 -0.88 -0.72 -0.86 -0.99 -0.73 -0.99 -0.85 -0.99 -0.99
010.0 +2.64 +0.22 +0.00 +0.00 +0.07 +0.15 +0.06 +0.01 +0.28 +0.00 +0.09 +0.07 +0.00
010.0 +0.00 +0.23 +0.00 +0.00 +0.08 +0.16 +0.06 +0.01 +0.30 +0.00 +0.09 +0.07 +0.00
010.0 +0.22 -0.61 -0.99 -0.99 -0.80 -0.63 -0.90 -0.99 -0.38 -0.99 -0.65 -0.88 -0.99
010.0 +0.09 -0.67 -0.99 -0.99 -0.81 -0.68 -0.91 -0.99 -0.41 -0.99 -0.70 -0.90 -0.99
012.5 +2.63 +0.25 +0.00 +0.00 +0.07 +0.15 +0.05 +0.01 +0.28 +0.00 +0.08 +0.08 +0.00
012.5 +0.00 +0.26 +0.00 +0.00 +0.07 +0.15 +0.05 +0.01 +0.29 +0.00 +0.08 +0.08 +0.00
